frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
98,3,[634.7601928710938 928.021484375 1121.02734375 1296.256591796875],car,[801.1429443359375 1164.610595703125 957.5343017578125 1213.077392578125],0.6327133774757385,GX15OCJ,0.5085348830391794
101,3,[628.990234375 933.4048461914062 1120.12451171875 1312.449951171875],car,[802.5790405273438 1191.4620361328125 946.6486206054688 1229.3370361328125],0.2524532973766327,GX15OCJ,0.6077026006228142
102,3,[626.589111328125 932.6563720703125 1119.2633056640625 1317.2764892578125],car,[807.49951171875 1196.862548828125 949.62841796875 1231.537353515625],0.3183576762676239,GX15OGJ,0.402708417040575
105,3,[619.6817626953125 934.0513305664062 1116.674072265625 1336.0416259765625],car,[779.8106689453125 1203.782470703125 936.7550048828125 1246.066162109375],0.29447034001350403,GX15OGJ,0.4371639720660513
107,3,[615.1074829101562 959.5651245117188 1115.0396728515625 1345.96630859375],car,[789.123779296875 1217.78076171875 931.5986328125 1255.8251953125],0.8178709745407104,GX15OCJ,0.47742708713881915
108,3,[611.0423583984375 969.2638549804688 1113.943603515625 1352.9542236328125],car,[775.8475341796875 1218.241943359375 939.7579345703125 1260.000732421875],0.4335334599018097,GX15OGJ,0.5992595000678772
109,3,[609.1137084960938 974.0455322265625 1113.1705322265625 1356.1474609375],car,[781.9642333984375 1223.36083984375 937.5921630859375 1261.97998046875],0.5427446961402893,GX15OGJ,0.32753359013895766
110,3,[605.7274169921875 979.9296264648438 1112.0460205078125 1363.26611328125],car,[780.068359375 1226.47412109375 934.1826171875 1275.1884765625],0.47607773542404175,CX15OGJ,0.549834315507214
111,3,[602.6441040039062 985.7033081054688 1110.1727294921875 1370.7420654296875],car,[770.5223388671875 1234.3477783203125 937.533447265625 1276.9932861328125],0.2781345546245575,GX15OGJ,0.31509493041936376
113,3,[598.7328491210938 993.899169921875 1107.868408203125 1380.8563232421875],car,[781.9696655273438 1253.1800537109375 882.4526977539062 1289.4906005859375],0.5807663798332214,GXISOC,0.14051624336962568
